"","year","group","product_id","product","group_id","import_val","export_val","trade_exchange_val","world_trade_val","rca","color","image"
"63",2014,"Animal Products","010304","Fish Fillets","01",16510670.52,2530334991.89,2546845662.41,23081684731.3,"25","#e8d58e","d3plus/icons/hs/hs_01.png"
"64",2014,"Animal Products","010305","Processed Fish","01",925618.01,90797363.12,91722981.13,6196866062.55,"3.34","#e8d58e","d3plus/icons/hs/hs_01.png"
"65",2014,"Animal Products","010306","Crustaceans","01",35790736.51,74957532.13,110748268.64,27018340591.9,"0.63","#e8d58e","d3plus/icons/hs/hs_01.png"
"66",2014,"Animal Products","010307","Molluscs","01",5162306.45,241498475.38,246660781.83,11664445269.3,"4.72","#e8d58e","d3plus/icons/hs/hs_01.png"
"67",2014,"Animal Products","010401","Milk","01",224776.71,5704416.34,5929193.05,9530167576.83,"0.14","#e8d58e","d3plus/icons/hs/hs_01.png"
"68",2014,"Animal Products","010402","Concentrated Milk","01",40820797.28,155035478.86,195856276.14,27705100435.6,"1.28","#e8d58e","d3plus/icons/hs/hs_01.png"
"69",2014,"Animal Products","010403","Fermented Milk Products","01",592509.75,570865.64,1163375.39,4850905786.31,"0.03","#e8d58e","d3plus/icons/hs/hs_01.png"
"70",2014,"Animal Products","010404","Whey","01",12203892.94,17195639.51,29399532.45,6144948322.6,"0.64","#e8d58e","d3plus/icons/hs/hs_01.png"
"71",2014,"Animal Products","010405","Butter","01",22784126.15,16222368.92,39006495.07,8644456345.67,"0.43","#e8d58e","d3plus/icons/hs/hs_01.png"
"72",2014,"Animal Products","010406","Cheese","01",117849954.7,42302529.01,160152483.71,32693359515,"0.3","#e8d58e","d3plus/icons/hs/hs_01.png"
"73",2014,"Animal Products","010407","Eggs","01",2213311.94,15050,2228361.94,4425431142.06,"0","#e8d58e","d3plus/icons/hs/hs_01.png"
"74",2014,"Animal Products","010408","Processed Egg Products","01",4357921.6,4787.79,4362709.39,1043025744.48,"0","#e8d58e","d3plus/icons/hs/hs_01.png"
"75",2014,"Animal Products","010409","Honey","01",4926.21,31288529.41,31293455.62,2279448511.62,"3.13","#e8d58e","d3plus/icons/hs/hs_01.png"
"76",2014,"Animal Products","010410","Other Edible Animal Products","01",40708.69,NA,40708.69,374947024.45,NA,"#e8d58e","d3plus/icons/hs/hs_01.png"
"78",2014,"Animal Products","010502","Pig Hair","01",928559.92,NA,928559.92,139646837.57,NA,"#e8d58e","d3plus/icons/hs/hs_01.png"
"80",2014,"Animal Products","010504","Animal Organs","01",5680416.01,23904238.84,29584654.85,4838719254.32,"1.13","#e8d58e","d3plus/icons/hs/hs_01.png"
"81",2014,"Animal Products","010505","Bird Feathers and Skins","01",8774069.85,NA,8774069.85,2244409084.13,NA,"#e8d58e","d3plus/icons/hs/hs_01.png"
"82",2014,"Animal Products","010506","Processed Bones","01",154000,354122.75,508122.75,417318553.67,"0.19","#e8d58e","d3plus/icons/hs/hs_01.png"
"83",2014,"Animal Products","010507","Raw Bones","01",NA,42522.34,42522.34,167166425.08,"0.06","#e8d58e","d3plus/icons/hs/hs_01.png"
