"","year","origin_id","destination_id","hs92_product_name","hs92_group_name","hs92_product_id","hs92_group_id","hs92_color","export_val","import_val","trade_exchange_val","origin_total_export_val","world_total_export_val","pci","rca","pci_rank","hs92_icon","top_importer","top_exporter"
"993",2014,"sachl","aschn","Liquid Dispersing Machines","Machines","8424","16","#17bcef",NA,22551852.01,22551852.01,6709611.68,18907564916.9,1.467,NA,69,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"994",2014,"sachl","aschn","Pulley Systems","Machines","8425","16","#17bcef",26550,13059041.07,13085591.07,2956374.58,8034353749.39,0.533,0.001,409,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"995",2014,"sachl","aschn","Cranes","Machines","8426","16","#17bcef",NA,7016446.68,7016446.68,42850947.4,16277120693.7,0.121,NA,599,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"996",2014,"sachl","aschn","Fork-Lifts","Machines","8427","16","#17bcef",NA,19265513.99,19265513.99,2578612.92,16080392895.5,1.551,NA,46,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"997",2014,"sachl","aschn","Lifting Machinery","Machines","8428","16","#17bcef",354476,63266294.99,63620770.99,18339364.75,28416864879.8,1.243,0.003,119,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"998",2014,"sachl","aschn","Large Construction Vehicles","Machines","8429","16","#17bcef",NA,33240544.03,33240544.03,64091342.16,45656916551.5,-0.238,NA,759,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Japan"
"999",2014,"sachl","aschn","Other Construction Vehicles","Machines","8430","16","#17bcef",446405,11345905.68,11792310.68,45256394.93,12898680658.2,-0.734,0.007,923,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","China"
"1000",2014,"sachl","aschn","Excavation Machinery","Machines","8431","16","#17bcef",73059.41,45535278.64,45608338.05,75054642.68,64783813757.3,0.351,0,491,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","United States"
"1001",2014,"sachl","aschn","Soil Preparation Machinery","Machines","8432","16","#17bcef",NA,998893.11,998893.11,1313774.4,8186258947.78,0.654,NA,356,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1002",2014,"sachl","aschn","Harvesting Machinery","Machines","8433","16","#17bcef",NA,3054499.82,3054499.82,3764148.7,20440006835.5,0.845,NA,276,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
"1003",2014,"sachl","aschn","Dairy Machinery","Machines","8434","16","#17bcef",NA,244335.06,244335.06,130187.61,2311858752.08,0.849,NA,273,"d3plus-1.9.8/icons/hs92/hs92_16.png","Germany","Netherlands"
"1004",2014,"sachl","aschn","Fruit Pressing Machinery","Machines","8435","16","#17bcef",NA,102897.77,102897.77,576197.34,400973890.57,0.119,NA,600,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Italy"
"1005",2014,"sachl","aschn","Other Agricultural Machinery","Machines","8436","16","#17bcef",NA,865155.34,865155.34,760508.94,7008730696.18,0.998,NA,196,"d3plus-1.9.8/icons/hs92/hs92_16.png","United States","Germany"
